Name,Current Price,Market Cap,Total Volume,24 Change %,High 24h,Low 24h,Time Stamp,Volatility
Bitcoin,66294.0,1324807868016,45292931962,-0.25113,67192.0,65149.0,2026-03-02 12:42:11.528201,2043.0
Ethereum,1947.96,235019941289,20719887120,-1.8865,2018.15,1910.44,2026-03-02 12:42:11.528201,107.71000000000004
Tether,0.99992,183621782755,71235742085,-0.00909,1.0,0.999812,2026-03-02 12:42:11.528201,0.00018799999999996597
BNB,621.72,84723605387,1194019846,-0.28437,629.28,611.51,2026-03-02 12:42:11.528201,17.769999999999982
XRP,1.35,82657899193,2889946609,-1.64626,1.4,1.34,2026-03-02 12:42:11.528201,0.05999999999999983
USDC,0.999996,75087970748,10217866919,0.01429,1.0,0.999808,2026-03-02 12:42:11.528201,0.00019199999999996997
Solana,84.04,47832651725,4226668540,-1.38055,86.53,81.86,2026-03-02 12:42:11.528201,4.670000000000002
TRON,0.281447,26656515163,390323277,0.1551,0.282065,0.280176,2026-03-02 12:42:11.528201,0.0018890000000000295
Figure Heloc,1.029,15908254518,286520,-0.7881388888888889,7769.970787777777,7528.502274555557,2026-03-02 12:42:11.528201,241.46851322222028
Dogecoin,0.091894,15522707393,1103828696,-1.80474,0.095025,0.090675,2026-03-02 12:42:11.528201,0.004349999999999993
