Title,Link,Score
Meta’s AI smart glasses and data privacy concerns,https://www.svd.se/a/K8nrV4/metas-ai-smart-glasses-and-data-privacy-concerns-workers-say-we-see-everything,966
British Columbia is permanently adopting daylight time,https://www.cbc.ca/news/canada/british-columbia/b-c-adopting-year-round-daylight-time-9.7111657,726
Ars Technica fires reporter after AI controversy involving fabricated quotes,https://futurism.com/artificial-intelligence/ars-technica-fires-reporter-ai-quotes,205
Daily Driving GrapheneOS,https://blog.matthewbrunelle.com/8-4-months-of-daily-driving-grapheneos/,59
Simple screw counter,https://mitxela.com/projects/screwcounter,88
Buckle Up for Bumpier Skies,https://www.newyorker.com/magazine/2026/03/09/buckle-up-for-bumpier-skies,16
Intent-Based Commits,https://github.com/adamveld12/ghost,34
Show HN: I built a sub-500ms latency voice agent from scratch,https://www.ntik.me/posts/voice-agent,342
Moldova broke our data pipeline,https://www.avraam.dev/blog/moldova-broke-our-pipeline,34
Physicists developing a quantum computer that’s entirely open source,https://physics.aps.org/articles/v19/24,90
First in-utero stem cell therapy for fetal spina bifida repair is safe: study,https://health.ucdavis.edu/news/headlines/first-ever-in-utero-stem-cell-therapy-for-fetal-spina-bifida-repair-is-safe-study-finds/2026/02,292
"New iPad Air, powered by M4",https://www.apple.com/newsroom/2026/03/apple-introduces-the-new-ipad-air-powered-by-m4/,371
Guilty Displeasures,https://www.hopefulmons.com/p/what-are-your-guilty-displeasures,55
Seed of Might Color Correction Process (2023) [pdf],https://andrewvanner.github.io/som/SoM_CC_Process_Day.pdf,84
The Excommunicated Devs Making Games with AI,https://www.tyleo.com/blog/the-excommunicated-devs-making-games-with-ai,44
Launch HN: OctaPulse (YC W26) – Robotics and computer vision for fish farming,item?id=47220320,97
Elevated Errors in Claude.ai,https://status.claude.com/incidents/yf48hzysrvl5,88
Guido van Rossum Interviews Thomas Wouters (Python Core Dev),https://gvanrossum.github.io/interviews/Thomas.html,15
Motorola announces a partnership with GrapheneOS,https://motorolanews.com/motorola-three-new-b2b-solutions-at-mwc-2026/,2165
I built an RGB controller with Arduino,https://svana.name/2026/02/i-built-an-rgb-controller-with-arduino/,4
iPhone 17e,https://www.apple.com/newsroom/2026/03/apple-introduces-iphone-17e/,257
Show HN: Govbase – Follow a bill from source text to news bias to social posts,https://govbase.com,187
The Cathode Ray Tube site,https://www.crtsite.com/didactic-crt.html,37
Against Query Based Compilers,https://matklad.github.io/2026/02/25/against-query-based-compilers.html,58
"Inside the M4 Apple Neural Engine, Part 1: Reverse Engineering",https://maderix.substack.com/p/inside-the-m4-apple-neural-engine,319
The 185-Microsecond Type Hint,https://blog.sturdystatistics.com/posts/type_hint/,66
DOS Memory Management,https://www.os2museum.com/wp/dos-memory-management/,21
RCade: Building a Community Arcade Cabinet,https://www.frankchiarulli.com/blog/building-the-rcade/,76
Ask HN: Who is hiring? (March 2026),item?id=47219668,202
Programmable Cryptography (2024),https://0xparc.org/writings/programmable-cryptography-1,65
